,root_url,num_of_out_links
97,https://techcrunch.com/,33.0
98,https://techcrunch.com/2020/10/01/ethels-club-somewhere-good/,14.0
99,https://techcrunch.com/author/jonathan-shieber/,27.0
100,https://techcrunch.com/2020/10/01/theres-a-way-to-pick-the-absolute-best-images-for-your-content-apply-ai/,7.0
101,https://techcrunch.com/author/megan-rose-dickey/,25.0
102,https://twitter.com/najjmahal/status/1309535100670013441?s=20,100.0
103,https://nappyheadclub.com/,29.0
104,https://www.eatofflimits.com/,20.0
105,https://www.blackfashionfair.org/designers,189.0
106,https://www.slugglobal.com/,3.0
107,https://techcrunch.com/,34.0
108,https://techcrunch.com/author/jonathan-shieber/,27.0
109,https://techcrunch.com/author/frederic-lardinois/,25.0
110,https://techcrunch.com/page/2/,33.0
111,https://techcrunch.com/author/brian-heater/,26.0
112,http://twitter.com/jshieber,0.0
113,https://techcrunch.com/2020/10/01/microsoft-updates-its-arm-based-surface-pro-x-tablet-with-a-faster-cpu/,4.0
114,https://techcrunch.com/2020/09/22/microsoft-challenges-twilio-with-the-launch-of-azure-communication-services/,7.0
115,https://techcrunch.com/2020/10/01/twitter-confirms-some-service-flakiness-today-now-fixed/,8.0
116,https://techcrunch.com/2020/10/01/justo-adds-another-5-million-in-funding-to-build-its-online-delivery-only-grocery-store-for-latin-america/,6.0
117,https://techcrunch.com/,34.0
118,https://techcrunch.com/2020/10/01/clubhouse-coinbase-what-if-the-kernel-is-corrupt/,20.0
119,https://techcrunch.com/2020/10/01/digital-vote-by-mail-applications-in-most-states-are-inaccessible-to-people-with-disabilities/,7.0
120,https://techcrunch.com/2020/10/01/teenage-engineerings-ob-4-magic-radio-is-a-weird-and-beautiful-wireless-speaker/,6.0
121,https://twitter.com/dannycrichton,0.0
122,https://2020upto.us/,31.0
123,https://open.spotify.com/show/5IEYLip3eDppcOmy5DmphC?si=bjgo57TCQ-uFC38-iTy6HA,209.0
124,https://itunes.apple.com/us/podcast/id1215439780,49.0
125,https://overcast.fm/itunes1215439780/equity,274.0
126,https://www.deque.com/blog/vote-by-mail-accessibility/,73.0
127,https://techcrunch.com/,34.0
128,https://techcrunch.com/author/taylor-hatmaker/,25.0
129,https://techcrunch.com/author/megan-rose-dickey/,25.0
130,https://techcrunch.com/2020/10/01/digital-vote-by-mail-applications-in-most-states-are-inaccessible-to-people-with-disabilities/,7.0
131,https://twitter.com/tayhatmaker,0.0
132,https://techcrunch.com/2020/09/29/facebook-new-cmo-alex-schultz/,8.0
133,https://techcrunch.com/2020/09/25/human-capital-enough-with-master-slave-terminology/,22.0
134,https://techcrunch.com/2020/09/07/human-capital-workers-are-upset-and-amazon-and-apple-are-on-the-defensive/,19.0
135,https://accessibility.deque.com/vote-by-mail-applications,14.0
136,https://www.deque.com/blog/vote-by-mail-accessibility/,73.0
137,https://techcrunch.com/,34.0
138,https://techcrunch.com/author/zack-whittaker/,26.0
139,https://techcrunch.com/author/taylor-hatmaker/,25.0
140,https://techcrunch.com/2020/10/01/ionq-claims-it-has-built-the-most-powerful-quantum-computer-yet/,15.0
141,https://twitter.com/zackwhittaker,0.0
142,https://techcrunch.com/2020/09/23/new-york-sports-clubs-owner-breach/,8.0
143,https://techcrunch.com/2020/10/01/section-230-hearing-big-tech/,19.0
144,https://twitter.com/tayhatmaker,0.0
145,https://aws.amazon.com/braket/,103.0
146,https://azure.microsoft.com/en-us/services/quantum/,268.0
147,https://techcrunch.com/,34.0
148,https://techcrunch.com/2020/10/01/teenage-engineerings-ob-4-magic-radio-is-a-weird-and-beautiful-wireless-speaker/,6.0
149,https://techcrunch.com/2020/10/01/pixie-labs-raises-9-15m-series-a-round-for-its-kubernetes-observability-platform/,13.0
150,https://techcrunch.com/author/zack-whittaker/,26.0
151,https://teenage.engineering/products/ob-4,16.0
152,https://twitter.com/techcrunch,0.0
153,https://syncedreview.com/2018/11/29/michael-i-jordan-interview-clarity-of-thought-on-ai/,110.0
154,https://ebpf.io/,7.0
155,https://docs.pixielabs.ai/pxl/,26.0
156,https://pixielabs.ai/,38.0
157,https://techcrunch.com/,34.0
158,https://techcrunch.com/2020/10/01/ionq-claims-it-has-built-the-most-powerful-quantum-computer-yet/,15.0
159,https://techcrunch.com/2020/10/01/theres-a-way-to-pick-the-absolute-best-images-for-your-content-apply-ai/,7.0
160,https://techcrunch.com/2020/10/01/bullpen-capital-raises-130-million-more-to-fund-the-far-afield-and-misunderstood/,8.0
161,https://twitter.com/fredericl,0.0
162,https://aws.amazon.com/braket/,103.0
163,https://azure.microsoft.com/en-us/services/quantum/,268.0
164,https://twitter.com/kristintynski,0.0
165,http://www.youtube.com,12.0
166,https://creatoracademy.youtube.com/page/lesson/thumbnails#strategies-zippy-link-2,0.0
167,https://techcrunch.com/,34.0
168,https://techcrunch.com/2020/10/01/ro-makes-the-weight-loss-product-plenity-commercially-available-to-everyone-in-the-u-s/,9.0
169,https://techcrunch.com/2020/10/01/teenage-engineerings-ob-4-magic-radio-is-a-weird-and-beautiful-wireless-speaker/,6.0
170,https://techcrunch.com/author/,0.0
171,https://www.gelesis.com/,35.0
172,https://twitter.com/jshieber,0.0
173,https://www.cnn.com/2019/04/29/health/obesity-weight-loss-capsule-plenity-gelesis-fda/index.html,130.0
174,https://techcrunch.com/2011/04/11/review-tdk-3-speaker-boombox/,11.0
175,https://teenage.engineering/products/ob-4,16.0
176,http://myplenity.com,12.0
177,https://techcrunch.com/,34.0
178,https://techcrunch.com/page/2/,33.0
179,https://techcrunch.com/2020/10/01/clubhouse-coinbase-what-if-the-kernel-is-corrupt/,20.0
180,https://techcrunch.com/2020/10/01/oracles-tiktok-and-zoom-deals-wont-move-cloud-market-share-needle-significantly/,16.0
181,https://techcrunch.com/author/matt-burns/,25.0
182,https://techcrunch.com/2020/10/01/hear-how-porsche-is-preparing-for-the-electric-future-at-tc-sessions-mobility/,7.0
183,https://techcrunch.com/2020/10/01/microsoft-enhances-customer-data-platform-as-pandemic-drives-need-for-personalization/,6.0
184,https://twitter.com/alex,0.0
185,https://2020upto.us/,31.0
186,https://open.spotify.com/show/5IEYLip3eDppcOmy5DmphC?si=bjgo57TCQ-uFC38-iTy6HA,209.0
187,https://techcrunch.com/,34.0
188,https://techcrunch.com/2020/10/01/facebook-sues-two-companies-engaged-in-data-scraping-operations/,18.0
189,https://techcrunch.com/2020/10/01/oracles-tiktok-and-zoom-deals-wont-move-cloud-market-share-needle-significantly/,16.0
190,https://techcrunch.com/author/megan-rose-dickey/,25.0
191,https://about.fb.com/news/2020/08/taking-legal-action-against-those-who-abuse-our-platform/,113.0
192,https://chrome.google.com/webstore/detail/ads-feed/deciloopcooglpjhomblbbjeeenohbpg?hl=en,4.0
193,https://www.scribd.com/publisher/17551504/TechCrunch#from_embed,61.0
194,https://www.brandtotal.com/,22.0
195,https://www.eff.org/deeplinks/2019/09/victory-ruling-hiq-v-linkedin-protects-scraping-public-data,106.0
196,https://www.vice.com/en/article/9kek83/linkedin-data-scraping-lawsuit-shot-down,58.0
197,https://techcrunch.com/,34.0
198,https://techcrunch.com/2020/10/01/latin-americas-digital-transformation-is-making-up-for-lost-time/,9.0
199,https://techcrunch.com/2020/10/01/ro-makes-the-weight-loss-product-plenity-commercially-available-to-everyone-in-the-u-s/,9.0
200,https://techcrunch.com/2020/10/01/oracles-tiktok-and-zoom-deals-wont-move-cloud-market-share-needle-significantly/,16.0
201,https://www.atlantico.vc/,5.0
202,https://twitter.com/juliov,0.0
203,https://techcrunch.com/2020/05/20/hims-hers-launch-spanish-language-telemedicine-services/,6.0
204,https://www.gelesis.com/,35.0
205,https://www.cnn.com/2019/04/29/health/obesity-weight-loss-capsule-plenity-gelesis-fda/index.html,130.0
206,https://techcrunch.com/2020/08/03/trump-calls-tiktok-a-hot-brand-demands-a-chunk-of-its-sale-price/,7.0
207,https://techcrunch.com/,34.0
208,https://techcrunch.com/2020/10/01/oracles-tiktok-and-zoom-deals-wont-move-cloud-market-share-needle-significantly/,16.0
209,https://techcrunch.com/author/megan-rose-dickey/,25.0
210,https://techcrunch.com/2020/10/01/teenage-engineerings-ob-4-magic-radio-is-a-weird-and-beautiful-wireless-speaker/,6.0
211,http://oracle.com,57.0
212,https://www.srgresearch.com/articles/quarterly-cloud-spending-blows-past-30b-incremental-growth-continues-rise,9.0
213,https://www.oracle.com/news/announcement/oracle-chosen-as-tiktok-secure-cloud-provider-091920.html,43.0
214,http://twitter.com/meganrosedickey,0.0
215,https://techcrunch.com/2020/09/25/black-founders-face-a-unique-set-of-challenges/,4.0
216,https://teenage.engineering/products/ob-4,16.0
217,https://techcrunch.com/,34.0
218,https://techcrunch.com/page/2/,33.0
219,https://techcrunch.com/2020/10/01/sap-continues-to-build-out-customer-experience-business-with-emarsys-acquisition/,10.0
220,https://techcrunch.com/author/,0.0
221,https://techcrunch.com/2020/10/01/the-spectrum-equity-backed-video-education-platform-kajabi-has-already-hit-60-million-in-arr/,11.0
222,https://brendon.com/,57.0
223,https://twitter.com/jshieber,0.0
224,https://plus.google.com/+BrendonBurchardAuthor,7.0
225,https://hpxwellness.com/,45.0
226,https://www.sophiaamoruso.com/,44.0
227,https://techcrunch.com/,34.0
228,https://techcrunch.com/author/taylor-hatmaker/,25.0
229,https://techcrunch.com/2020/09/30/aoc-palantir-letter/,11.0
230,https://www.hrw.org/middle-east/n-africa/qatar#,64.0
231,https://donate.hrw.org/page/15328/donate/1?promo_id=1000,17.0
232,https://www.washingtonpost.com/technology/2020/07/01/warren-hhs-data-collection/,100.0
233,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3845,177.0
234,https://subscribe.washingtonpost.com/newsletters,0.0
235,https://chc.house.gov/media-center/press-releases/congressional-hispanic-caucus-members-demand-trump-administration,56.0
236,https://foundationcenter.org/,87.0
237,https://techcrunch.com/,34.0
238,https://techcrunch.com/2020/10/01/daily-crunch-google-commits-1b-to-pay-publishers/,17.0
239,https://techcrunch.com/author/sarah-perez/,26.0
240,https://techcrunch.com/2020/10/01/ro-makes-the-weight-loss-product-plenity-commercially-available-to-everyone-in-the-u-s/,9.0
241,https://www.gelesis.com/,35.0
242,https://www.cnn.com/2019/04/29/health/obesity-weight-loss-capsule-plenity-gelesis-fda/index.html,130.0
243,https://www.gelesis.com//technology/,26.0
244,http://myplenity.com,12.0
245,https://twitter.com/anthonyha,0.0
246,http://bleacherreport.com/nfl,95.0
247,https://techcrunch.com/,34.0
248,https://techcrunch.com/author/alexandra-ames/,23.0
249,https://techcrunch.com/author/zack-whittaker/,26.0
250,https://techcrunch.com/2020/10/01/ro-makes-the-weight-loss-product-plenity-commercially-available-to-everyone-in-the-u-s/,9.0
251,https://twitter.com/zackwhittaker,0.0
252,https://techcrunch.com/author/,0.0
253,https://techcrunch.com/2020/09/23/shopify-data-merchant-breach/,6.0
254,https://www.cnn.com/2019/04/29/health/obesity-weight-loss-capsule-plenity-gelesis-fda/index.html,130.0
255,https://techcrunch.com/2020/09/24/free-vpn-bad-for-privacy/,12.0
256,https://www.theguardian.com/world/2013/jul/31/nsa-top-secret-program-online-data,123.0
257,https://techcrunch.com/,34.0
258,https://techcrunch.com/2020/10/01/ro-makes-the-weight-loss-product-plenity-commercially-available-to-everyone-in-the-u-s/,9.0
259,https://www.cnn.com/2019/04/29/health/obesity-weight-loss-capsule-plenity-gelesis-fda/index.html,130.0
260,https://www.cdc.gov/healthyweight/assessing/bmi/index.html,95.0
261,https://www.cdc.gov/healthyweight/assessing/bmi/index.html/healthyweight/losing_weight/getting_started.html,95.0
262,https://tools.cdc.gov/podcasts/rss.asp,41.0
263,https://wwwn.cdc.gov/dcs/RequestForm.aspx,105.0
264,https://www.cdc.gov/healthyweight/assessing/bmi/index.html/healthyweight/losing_weight/getting_started.html/breastfeeding/index.htm,95.0
265,http://bleacherreport.com,62.0
